trial number,sensor position,sample num,sensor value,subject identifier,matching condition,channel,name,time
71,FP1,0,-351,c,S2 match,0,co2c0000338,0
71,FP1,1,-3998,c,S2 match,0,co2c0000338,390625
71,FP1,2,-6927,c,S2 match,0,co2c0000338,78125
71,FP1,3,-10345,c,S2 match,0,co2c0000338,1171875
71,FP1,4,-12299,c,S2 match,0,co2c0000338,15625
71,FP1,5,-12299,c,S2 match,0,co2c0000338,1953125
71,FP1,6,-9369,c,S2 match,0,co2c0000338,234375
71,FP1,7,-6439,c,S2 match,0,co2c0000338,2734375
71,FP1,8,-3998,c,S2 match,0,co2c0000338,3125
71,FP1,9,-351,c,S2 match,0,co2c0000338,3515625
71,FP1,10,-5463,c,S2 match,0,co2c0000338,390625
71,FP1,11,-8392,c,S2 match,0,co2c0000338,4296875
71,FP1,12,-10345,c,S2 match,0,co2c0000338,46875
71,FP1,13,-10345,c,S2 match,0,co2c0000338,5078125
71,FP1,14,-9369,c,S2 match,0,co2c0000338,546875
71,FP1,15,-6927,c,S2 match,0,co2c0000338,5859375
71,FP1,16,-4974,c,S2 match,0,co2c0000338,625
71,FP1,17,-351,c,S2 match,0,co2c0000338,6640625
71,FP1,18,-3021,c,S2 match,0,co2c0000338,703125
71,FP1,19,-2533,c,S2 match,0,co2c0000338,7421875
71,FP1,20,-2533,c,S2 match,0,co2c0000338,78125
71,FP1,21,-2533,c,S2 match,0,co2c0000338,8203125
71,FP1,22,-351,c,S2 match,0,co2c0000338,859375
71,FP1,23,-4974,c,S2 match,0,co2c0000338,8984375
71,FP1,24,-6439,c,S2 match,0,co2c0000338,9375
71,FP1,25,-8392,c,S2 match,0,co2c0000338,9765625
71,FP1,26,-9857,c,S2 match,0,co2c0000338,1015625
71,FP1,27,-10345,c,S2 match,0,co2c0000338,10546875
71,FP1,28,-10834,c,S2 match,0,co2c0000338,109375
71,FP1,29,-12299,c,S2 match,0,co2c0000338,11328125
71,FP1,30,-13763,c,S2 match,0,co2c0000338,1171875
71,FP1,31,-15717,c,S2 match,0,co2c0000338,12109375
71,FP1,32,-16205,c,S2 match,0,co2c0000338,125
71,FP1,33,-15717,c,S2 match,0,co2c0000338,12890625
71,FP1,34,-14252,c,S2 match,0,co2c0000338,1328125
71,FP1,35,-1181,c,S2 match,0,co2c0000338,13671875
71,FP1,36,-9857,c,S2 match,0,co2c0000338,140625
71,FP1,37,-7416,c,S2 match,0,co2c0000338,14453125
71,FP1,38,-6439,c,S2 match,0,co2c0000338,1484375
71,FP1,39,-6439,c,S2 match,0,co2c0000338,15234375
71,FP1,40,-8392,c,S2 match,0,co2c0000338,15625
71,FP1,41,-10834,c,S2 match,0,co2c0000338,16015625
71,FP1,42,-12299,c,S2 match,0,co2c0000338,1640625
