Column1;trial number;sensor position;sample num;sensor value;subject identifier;matching condition;channel;name;time
5;95;FP1;0;-7263;c;S2 nomatch,;0;co2c0000338;0
6;95;FP1;1;-6775;c;S2 nomatch,;0;co2c0000338;390625
7;95;FP1;2;-7263;c;S2 nomatch,;0;co2c0000338;78125
8;95;FP1;3;-824;c;S2 nomatch,;0;co2c0000338;1171875
9;95;FP1;4;-10193;c;S2 nomatch,;0;co2c0000338;15625
10;95;FP1;5;-11169;c;S2 nomatch,;0;co2c0000338;1953125
11;95;FP1;6;-10681;c;S2 nomatch,;0;co2c0000338;234375
12;95;FP1;7;-9705;c;S2 nomatch,;0;co2c0000338;2734375
13;95;FP1;8;-9216;c;S2 nomatch,;0;co2c0000338;3125
14;95;FP1;9;-9705;c;S2 nomatch,;0;co2c0000338;3515625
15;95;FP1;10;-9705;c;S2 nomatch,;0;co2c0000338;390625
16;95;FP1;11;-9216;c;S2 nomatch,;0;co2c0000338;4296875
17;95;FP1;12;-6775;c;S2 nomatch,;0;co2c0000338;46875
18;95;FP1;13;-4333;c;S2 nomatch,;0;co2c0000338;5078125
19;95;FP1;14;-3357;c;S2 nomatch,;0;co2c0000338;546875
20;95;FP1;15;-4333;c;S2 nomatch,;0;co2c0000338;5859375
21;95;FP1;16;-6287;c;S2 nomatch,;0;co2c0000338;625
22;95;FP1;17;-7751;c;S2 nomatch,;0;co2c0000338;6640625
23;95;FP1;18;-6775;c;S2 nomatch,;0;co2c0000338;703125
24;95;FP1;19;-3845;c;S2 nomatch,;0;co2c0000338;7421875
25;95;FP1;20;-1404;c;S2 nomatch,;0;co2c0000338;78125
26;95;FP1;21;-427;c;S2 nomatch,;0;co2c0000338;8203125
27;95;FP1;22;-1404;c;S2 nomatch,;0;co2c0000338;859375
28;95;FP1;23;-531;c;S2 nomatch,;0;co2c0000338;8984375
29;95;FP1;24;-824;c;S2 nomatch,;0;co2c0000338;9375
30;95;FP1;25;-10681;c;S2 nomatch,;0;co2c0000338;9765625
31;95;FP1;26;-11658;c;S2 nomatch,;0;co2c0000338;1015625
32;95;FP1;27;-11658;c;S2 nomatch,;0;co2c0000338;10546875
33;95;FP1;28;-11169;c;S2 nomatch,;0;co2c0000338;109375
34;95;FP1;29;-10193;c;S2 nomatch,;0;co2c0000338;11328125
35;95;FP1;30;-9705;c;S2 nomatch,;0;co2c0000338;1171875
36;95;FP1;31;-8728;c;S2 nomatch,;0;co2c0000338;12109375
37;95;FP1;32;-824;c;S2 nomatch,;0;co2c0000338;125
38;95;FP1;33;-8728;c;S2 nomatch,;0;co2c0000338;12890625
39;95;FP1;34;-8728;c;S2 nomatch,;0;co2c0000338;1328125
40;95;FP1;35;-9216;c;S2 nomatch,;0;co2c0000338;13671875
41;95;FP1;36;-8728;c;S2 nomatch,;0;co2c0000338;140625
42;95;FP1;37;-6775;c;S2 nomatch,;0;co2c0000338;14453125
43;95;FP1;38;-531;c;S2 nomatch,;0;co2c0000338;1484375
44;95;FP1;39;-2869;c;S2 nomatch,;0;co2c0000338;15234375
45;95;FP1;40;-1404;c;S2 nomatch,;0;co2c0000338;15625
46;95;FP1;41;-427;c;S2 nomatch,;0;co2c0000338;16015625
47;95;FP1;42;61;c;S2 nomatch,;0;co2c0000338;1640625
48;95;FP1;43;61;c;S2 nomatch,;0;co2c0000338;16796875
49;95;FP1;44;-1892;c;S2 nomatch,;0;co2c0000338;171875
50;95;FP1;45;-4822;c;S2 nomatch,;0;co2c0000338;17578125
51;95;FP1;46;-7751;c;S2 nomatch,;0;co2c0000338;1796875
52;95;FP1;47;-10193;c;S2 nomatch,;0;co2c0000338;18359375
53;95;FP1;48;-11169;c;S2 nomatch,;0;co2c0000338;1875
54;95;FP1;49;-11658;c;S2 nomatch,;0;co2c0000338;19140625
55;95;FP1;50;-12634;c;S2 nomatch,;0;co2c0000338;1953125
56;95;FP1;51;-14099;c;S2 nomatch,;0;co2c0000338;19921875
57;95;FP1;52;-15076;c;S2 nomatch,;0;co2c0000338;203125
58;95;FP1;53;-15076;c;S2 nomatch,;0;co2c0000338;20703125
59;95;FP1;54;-14587;c;S2 nomatch,;0;co2c0000338;2109375
