Column1;trial number;sensor position;sample num;sensor value;subject identifier;matching condition;channel;name;time
5;30;FP1;0;-355;a;S1 obj;0;co2a0000364;0
6;30;FP1;1;-5015;a;S1 obj;0;co2a0000364;390625
7;30;FP1;2;-5503;a;S1 obj;0;co2a0000364;78125
8;30;FP1;3;-355;a;S1 obj;0;co2a0000364;1171875
9;30;FP1;4;-621;a;S1 obj;0;co2a0000364;15625
10;30;FP1;5;1821;a;S1 obj;0;co2a0000364;1953125
11;30;FP1;6;2309;a;S1 obj;0;co2a0000364;234375
12;30;FP1;7;844;a;S1 obj;0;co2a0000364;2734375
13;30;FP1;8;844;a;S1 obj;0;co2a0000364;3125
14;30;FP1;9;3286;a;S1 obj;0;co2a0000364;3515625
15;30;FP1;10;768;a;S1 obj;0;co2a0000364;390625
16;30;FP1;11;10122;a;S1 obj;0;co2a0000364;4296875
17;30;FP1;12;9145;a;S1 obj;0;co2a0000364;46875
18;30;FP1;13;5239;a;S1 obj;0;co2a0000364;5078125
19;30;FP1;14;844;a;S1 obj;0;co2a0000364;546875
20;30;FP1;15;-621;a;S1 obj;0;co2a0000364;5859375
21;30;FP1;16;2309;a;S1 obj;0;co2a0000364;625
22;30;FP1;17;6215;a;S1 obj;0;co2a0000364;6640625
23;30;FP1;18;7192;a;S1 obj;0;co2a0000364;703125
24;30;FP1;19;4262;a;S1 obj;0;co2a0000364;7421875
25;30;FP1;20;-1109;a;S1 obj;0;co2a0000364;78125
26;30;FP1;21;-5503;a;S1 obj;0;co2a0000364;8203125
27;30;FP1;22;-648;a;S1 obj;0;co2a0000364;859375
28;30;FP1;23;-4038;a;S1 obj;0;co2a0000364;8984375
29;30;FP1;24;-132;a;S1 obj;0;co2a0000364;9375
30;30;FP1;25;1821;a;S1 obj;0;co2a0000364;9765625
31;30;FP1;26;1821;a;S1 obj;0;co2a0000364;1015625
32;30;FP1;27;356;a;S1 obj;0;co2a0000364;10546875
33;30;FP1;28;-132;a;S1 obj;0;co2a0000364;109375
34;30;FP1;29;1821;a;S1 obj;0;co2a0000364;11328125
35;30;FP1;30;4262;a;S1 obj;0;co2a0000364;1171875
36;30;FP1;31;6704;a;S1 obj;0;co2a0000364;12109375
37;30;FP1;32;7192;a;S1 obj;0;co2a0000364;125
38;30;FP1;33;5727;a;S1 obj;0;co2a0000364;12890625
39;30;FP1;34;4262;a;S1 obj;0;co2a0000364;1328125
40;30;FP1;35;3774;a;S1 obj;0;co2a0000364;13671875
41;30;FP1;36;4751;a;S1 obj;0;co2a0000364;140625
