Column1;trial number;sensor position;sample num;sensor value;subject identifier;matching condition;channel;name;time
5;101;FP1;0;-1302;c;S2 match;0;co2c0000339;0
6;101;FP1;1;-2279;c;S2 match;0;co2c0000339;390625
7;101;FP1;2;-2279;c;S2 match;0;co2c0000339;78125
8;101;FP1;3;-179;c;S2 match;0;co2c0000339;1171875
9;101;FP1;4;-814;c;S2 match;0;co2c0000339;15625
10;101;FP1;5;-814;c;S2 match;0;co2c0000339;1953125
11;101;FP1;6;-1302;c;S2 match;0;co2c0000339;234375
12;101;FP1;7;-2279;c;S2 match;0;co2c0000339;2734375
13;101;FP1;8;-2767;c;S2 match;0;co2c0000339;3125
14;101;FP1;9;-2767;c;S2 match;0;co2c0000339;3515625
15;101;FP1;10;-2279;c;S2 match;0;co2c0000339;390625
16;101;FP1;11;-2767;c;S2 match;0;co2c0000339;4296875
17;101;FP1;12;-4232;c;S2 match;0;co2c0000339;46875
18;101;FP1;13;-5697;c;S2 match;0;co2c0000339;5078125
19;101;FP1;14;-6185;c;S2 match;0;co2c0000339;546875
20;101;FP1;15;-4232;c;S2 match;0;co2c0000339;5859375
21;101;FP1;16;-1302;c;S2 match;0;co2c0000339;625
22;101;FP1;17;2604;c;S2 match;0;co2c0000339;6640625
23;101;FP1;18;651;c;S2 match;0;co2c0000339;703125
24;101;FP1;19;8952;c;S2 match;0;co2c0000339;7421875
25;101;FP1;20;10417;c;S2 match;0;co2c0000339;78125
26;101;FP1;21;10905;c;S2 match;0;co2c0000339;8203125
27;101;FP1;22;11393;c;S2 match;0;co2c0000339;859375
28;101;FP1;23;10905;c;S2 match;0;co2c0000339;8984375
29;101;FP1;24;9928;c;S2 match;0;co2c0000339;9375
30;101;FP1;25;8464;c;S2 match;0;co2c0000339;9765625
31;101;FP1;26;7487;c;S2 match;0;co2c0000339;1015625
32;101;FP1;27;5046;c;S2 match;0;co2c0000339;10546875
33;101;FP1;28;3092;c;S2 match;0;co2c0000339;109375
34;101;FP1;29;1139;c;S2 match;0;co2c0000339;11328125
35;101;FP1;30;163;c;S2 match;0;co2c0000339;1171875
36;101;FP1;31;163;c;S2 match;0;co2c0000339;12109375
37;101;FP1;32;1139;c;S2 match;0;co2c0000339;125
38;101;FP1;33;2604;c;S2 match;0;co2c0000339;12890625
39;101;FP1;34;3581;c;S2 match;0;co2c0000339;1328125
40;101;FP1;35;4557;c;S2 match;0;co2c0000339;13671875
41;101;FP1;36;5046;c;S2 match;0;co2c0000339;140625
42;101;FP1;37;5046;c;S2 match;0;co2c0000339;14453125
43;101;FP1;38;5046;c;S2 match;0;co2c0000339;1484375
